news_headline,news_article,news_category,full_text,clean_text
Man posts video of him controlling an iPhone with his eyes,"A developer named Matt Moss has posted a video on Twitter which shows him controlling an iPhone with his eyes, using Apple's augmented reality framework called ARKit. It shows Moss looking at the button to click it and then blinking to press the button. Commenting on the technology, Moss said it can ""improve the lives of people with disabilities.""",technology,"Man posts video of him controlling an iPhone with his eyes. A developer named Matt Moss has posted a video on Twitter which shows him controlling an iPhone with his eyes, using Apple's augmented reality framework called ARKit. It shows Moss looking at the button to click it and then blinking to press the button. Commenting on the technology, Moss said it can ""improve the lives of people with disabilities.""",man post video control iphone eye developer name matt moss post video twitter show control iphone eye use apple augment reality framework call arkit show moss look button click blink press button comment technology moss say improve life people disability
FB denies sharing users' friends' data with firms after 2015,"After Facebook claimed it cut off developer access to user data in 2015, a report claiming the company struck data-sharing deals with select companies and shared details of users' friends has surfaced. Denying the reports, Facebook said after 2015, it gave a short extension to a few developers, adding it did not share any users' friends' private data.",technology,"FB denies sharing users' friends' data with firms after 2015. After Facebook claimed it cut off developer access to user data in 2015, a report claiming the company struck data-sharing deals with select companies and shared details of users' friends has surfaced. Denying the reports, Facebook said after 2015, it gave a short extension to a few developers, adding it did not share any users' friends' private data.",fb denie sharing user friend datum firm facebook claim cut developer access user datum report claim company strike datum share deal select company share detail user friend surface deny report facebook say give short extension developer add not share user friend private datum
Startup sues Apple for copying logo for its 'Shortcut' app,"A startup named Shift has sued Apple for $200,000 over copying its logo for the company's Shortcut app. ""It's mind-blowing that Apple, the firm with the biggest cash pile in history...had to copy our logo,"" Shift said. Apple introduced the app for Siri on iOS 12, which allows users to create their own commands for the digital assistant, this week.",technology,"Startup sues Apple for copying logo for its 'Shortcut' app. A startup named Shift has sued Apple for $200,000 over copying its logo for the company's Shortcut app. ""It's mind-blowing that Apple, the firm with the biggest cash pile in history...had to copy our logo,"" Shift said. Apple introduced the app for Siri on iOS 12, which allows users to create their own commands for the digital assistant, this week.",startup sue apple copy logo shortcut app startup named shift sue apple copy logo company shortcut app mind blowing apple firm biggest cash pile history copy logo shift say apple introduce app siri ios allow user create command digital assistant week
I had a boss who belittled me publicly: Facebook's Sandberg,"Addressing the students of MIT on Friday, Facebook COO Sheryl Sandberg said that in one of her early jobs, she had a boss who ""belittled"" her publicly. He ""treated me quite differently from the two men on my team and not in a good way,"" Sandberg added. She urged students to build workplaces where everyone is treated with respect.",technology,"I had a boss who belittled me publicly: Facebook's Sandberg. Addressing the students of MIT on Friday, Facebook COO Sheryl Sandberg said that in one of her early jobs, she had a boss who ""belittled"" her publicly. He ""treated me quite differently from the two men on my team and not in a good way,"" Sandberg added. She urged students to build workplaces where everyone is treated with respect.",boss belittle publicly facebook sandberg address student mit friday facebook coo sheryl sandberg say one early job boss belittle publicly treat quite differently two man team not good way sandberg add urge student build workplace everyone treat respect
Yahoo redirecting users to new app before shutting Messenger,"After announcing that it is discontinuing its Messenger service after 20 years, Yahoo is recommending its users to use its group messaging app called Squirrel. Yahoo launched the invite-only app in May on iOS and Android, with a focus on friends, family and work groups. Squirrel is currently available in beta version, Yahoo said.
",technology,"Yahoo redirecting users to new app before shutting Messenger. After announcing that it is discontinuing its Messenger service after 20 years, Yahoo is recommending its users to use its group messaging app called Squirrel. Yahoo launched the invite-only app in May on iOS and Android, with a focus on friends, family and work groups. Squirrel is currently available in beta version, Yahoo said.
",yahoo redirecting user new app shut messenger announce discontinue messenger service year yahoo recommend user use group messaging app call squirrel yahoo launch invite app may io android focus friend family work group squirrel currently available beta version yahoo say
Respect WhatsApp but people need an alternative: Patanjali,"Talking about messaging app 'Kimbho' which the firm claims will give ""competition"" to WhatsApp, Patanjali MD Acharya Balkrishna has said he respects WhatsApp but ""people need an alternative"". He added, ""Why can't we build our own messenger...that people can trust and which keeps user's data within India?"" He predicted 'Kimbho' would be used by ""all types and levels of Indians"". ",technology,"Respect WhatsApp but people need an alternative: Patanjali. Talking about messaging app 'Kimbho' which the firm claims will give ""competition"" to WhatsApp, Patanjali MD Acharya Balkrishna has said he respects WhatsApp but ""people need an alternative"". He added, ""Why can't we build our own messenger...that people can trust and which keeps user's data within India?"" He predicted 'Kimbho' would be used by ""all types and levels of Indians"". ",respect whatsapp people need alternative patanjali talk messaging app kimbho firm claim give competition whatsapp patanjali md acharya balkrishna say respect whatsapp people need alternative add not build messenger people trust keep user data within india predict kimbho would use type level indian
Uber aims to patent an AI system to identify drunk riders,"Uber has applied for a patent for an AI system that can predict if a user is drunk while booking a cab. According to the application, the system would track users' typing speed (including typos) on the app, walking speed, booking location, among others. A 'drunk' passenger might only be matched with trained drivers, and prevented from joining a carpool.",technology,"Uber aims to patent an AI system to identify drunk riders. Uber has applied for a patent for an AI system that can predict if a user is drunk while booking a cab. According to the application, the system would track users' typing speed (including typos) on the app, walking speed, booking location, among others. A 'drunk' passenger might only be matched with trained drivers, and prevented from joining a carpool.",uber aim patent ai system identify drunk rider uber apply patent ai system predict user drunk book cab accord application system would track user typing speed include typo app walk speed book location among drunk passenger may match trained driver prevent join carpool
Instagram now lets users share story if they're tagged in it,"Instagram now allows users to share another user's story as their own story if they are mentioned in that story. When someone is mentioned in a user's story, they receive a notification in their message thread with that person, below which an option to add that to own story will appear. However, only public accounts can have their stories shared.",technology,"Instagram now lets users share story if they're tagged in it. Instagram now allows users to share another user's story as their own story if they are mentioned in that story. When someone is mentioned in a user's story, they receive a notification in their message thread with that person, below which an option to add that to own story will appear. However, only public accounts can have their stories shared.",instagram let user share story tag instagram allow user share anoth user story story mention story someone mention user story receive notification message thread person option add story appear however public account story share
Apple may introduce touch-sensitive side buttons for Watch,"Apple is reportedly replacing the physical buttons in Apple Watch with solid-state side buttons which are touch-sensitive. The new buttons will not physically click but instead, reacts to a user's touch through a haptic feedback similar to iPhone 7 home button. The new buttons are expected to be announced later this year or in the 2019 Apple Watch, reports added.",technology,"Apple may introduce touch-sensitive side buttons for Watch. Apple is reportedly replacing the physical buttons in Apple Watch with solid-state side buttons which are touch-sensitive. The new buttons will not physically click but instead, reacts to a user's touch through a haptic feedback similar to iPhone 7 home button. The new buttons are expected to be announced later this year or in the 2019 Apple Watch, reports added.",apple may introduce touch sensitive side button watch apple reportedly replace physical button apple watch solid state side button touch sensitive new button not physically click instead react user touch haptic feedback similar iphone home button new button expect announce later year apple watch report add
Won't launch messaging app until experts check it: Patanjali,"Speaking about Patanjali's messaging app 'Kimbho', Managing Director Acharya Balkrishna recently said, ""We pledge not to launch the app until a team of expert hackers...plug all the security and privacy loopholes"". Earlier, Kimbho disappeared from Google Play Store a day after its launch last month. It was after a French security expert claimed he could access messages of all users.",technology,"Won't launch messaging app until experts check it: Patanjali. Speaking about Patanjali's messaging app 'Kimbho', Managing Director Acharya Balkrishna recently said, ""We pledge not to launch the app until a team of expert hackers...plug all the security and privacy loopholes"". Earlier, Kimbho disappeared from Google Play Store a day after its launch last month. It was after a French security expert claimed he could access messages of all users.",not launch messaging app expert check patanjali speak patanjalis messaging app kimbho managing director acharya balkrishna recently say pledge not launch app team expert hacker plug security privacy loophole earlier kimbho disappear google play store day launch last month french security expert claim could access message user
FB to send fewer 'You are now connected on Messenger' alerts,"Facebook has said that it will send fewer notifications, about their friends joining messenger, to users who don't enjoy getting them. Facebook sends the alerts which read, 'You are now connected on Messenger', when a user becomes 'Friend' with another or a friend joins Messenger. Facebook will employ machine learning to analyse which users do not like the feature.",technology,"FB to send fewer 'You are now connected on Messenger' alerts. Facebook has said that it will send fewer notifications, about their friends joining messenger, to users who don't enjoy getting them. Facebook sends the alerts which read, 'You are now connected on Messenger', when a user becomes 'Friend' with another or a friend joins Messenger. Facebook will employ machine learning to analyse which users do not like the feature.",fb send fewer connect messenger alert facebook say send fewer notification friend joining messenger user not enjoy get facebook send alert read connect messenger user become friend another friend join messenger facebook employ machine learn analyse user not like feature
WhatsApp now labels forwarded messages in beta,"Facebook-owned messaging service WhatsApp has now started labeling forwarded messages in Android beta. Forwarded messages carry a tag above the message saying 'Forwarded', which helps inform the receiver of the message that the sender has forwarded it. Notably, WhatsApp does not give the users an option to disable the label.",technology,"WhatsApp now labels forwarded messages in beta. Facebook-owned messaging service WhatsApp has now started labeling forwarded messages in Android beta. Forwarded messages carry a tag above the message saying 'Forwarded', which helps inform the receiver of the message that the sender has forwarded it. Notably, WhatsApp does not give the users an option to disable the label.",whatsapp label forward message beta facebook messaging service whatsapp start label forward message android beta forwarded message carry tag message say forwarded help inform receiver message sender forward notably whatsapp not give user option disable label
Google removes egg from salad emoji to promote diversity,"Google's emoji UX Manager, Jennifer Daniel has said the company has removed the egg from the salad emoji in Android P beta 2 to make it ""a more inclusive vegan salad."" However, she later explained the updated emoji corresponds more accurately with its original description; ""A bowl of healthy salad, containing lettuce, tomato, and other salad items such as cucumber.""",technology,"Google removes egg from salad emoji to promote diversity. Google's emoji UX Manager, Jennifer Daniel has said the company has removed the egg from the salad emoji in Android P beta 2 to make it ""a more inclusive vegan salad."" However, she later explained the updated emoji corresponds more accurately with its original description; ""A bowl of healthy salad, containing lettuce, tomato, and other salad items such as cucumber.""",google remove egg salad emoji promote diversity google emoji ux manager jennifer daniel say company remove egg salad emoji android p beta make inclusive vegan salad however later explain update emoji correspond accurately original description bowl healthy salad contain lettuce tomato salad item cucumber
Indian govt sends notice to FB over sharing data with Apple,"The Indian government has sent a notice to Facebook, demanding an explanation to reports that claimed the platform shared users' personal data with 60 companies including Apple and Samsung. ""The Government of India is deeply concerned about reports of such lapses/violations,"" an official statement said. The company has been given time till June 20 to respond to the notice.",technology,"Indian govt sends notice to FB over sharing data with Apple. The Indian government has sent a notice to Facebook, demanding an explanation to reports that claimed the platform shared users' personal data with 60 companies including Apple and Samsung. ""The Government of India is deeply concerned about reports of such lapses/violations,"" an official statement said. The company has been given time till June 20 to respond to the notice.",indian govt send notice fb share datum apple indian government send notice facebook demand explanation report claim platform share user personal datum company include apple samsung government india deeply concerned report lapse violation official statement say company give time till june respond notice
World no. 1 Nadal wins his 11th French Open title in 14 yrs,"World number one Rafael Nadal on Sunday defeated world number eight Dominic Thiem in the men's singles final to clinch his record-extending 11th French Open title in 14 years. With this, Nadal equalled former world number one female player Margaret Court's record of winning a single Grand Slam singles title 11 times. Overall, it was Nadal's 17th Grand Slam title.",sports,"World no. 1 Nadal wins his 11th French Open title in 14 yrs. World number one Rafael Nadal on Sunday defeated world number eight Dominic Thiem in the men's singles final to clinch his record-extending 11th French Open title in 14 years. With this, Nadal equalled former world number one female player Margaret Court's record of winning a single Grand Slam singles title 11 times. Overall, it was Nadal's 17th Grand Slam title.",world no nadal win th french open title yrs world number one rafael nadal sunday defeat world number eight dominic thiem men single final clinch record extend th french open title year nadal equalled former world number one female player margaret court record win single grand slam single title time overall nadal th grand slam title
"Chhetri equals Messi, becomes joint 2nd best active scorer","Indian football team captain Sunil Chhetri scored both the goals in India's 2-0 Intercontinental Cup final win against Kenya on Sunday to equal Argentina captain Lionel Messi's tally of 64 international goals. With this, Chhetri became the joint-second best active international goal-scorer and is only behind Portugal's Cristiano Ronaldo (81). Chhetri has scored 10 goals in his last six matches.",sports,"Chhetri equals Messi, becomes joint 2nd best active scorer. Indian football team captain Sunil Chhetri scored both the goals in India's 2-0 Intercontinental Cup final win against Kenya on Sunday to equal Argentina captain Lionel Messi's tally of 64 international goals. With this, Chhetri became the joint-second best active international goal-scorer and is only behind Portugal's Cristiano Ronaldo (81). Chhetri has scored 10 goals in his last six matches.",chhetri equal messi become joint nd best active scorer indian football team captain sunil chhetri score goal indias intercontinental cup final win kenya sunday equal argentina captain lionel messis tally international goal chhetri become joint second good active international goal scorer behind portugal cristiano ronaldo chhetri score goal last six match
Which has been the highest scoring match in FIFA WC history?,"The quarter-final match between Austria and Switzerland in 1954, which produced 12 goals, is the highest scoring match in FIFA World Cup history. Austria defeated the hosts 7-5, with nine of 12 goals coming within the first 40 minutes. The match came to be known as 'Heat battle of Lausanne' due to the high temperature (40°C)  it was played under.",sports,"Which has been the highest scoring match in FIFA WC history?. The quarter-final match between Austria and Switzerland in 1954, which produced 12 goals, is the highest scoring match in FIFA World Cup history. Austria defeated the hosts 7-5, with nine of 12 goals coming within the first 40 minutes. The match came to be known as 'Heat battle of Lausanne' due to the high temperature (40°C)  it was played under.",high scoring match fifa wc history quarter final match austria switzerland produce goal high scoring match fifa world cup history austria defeat host nine goal come within first minute match come know heat battle lausanne due high temperature c play
Mahatma Gandhi's son stayed in jail to watch Don Bradman bat,"The youngest son of Mahatma Gandhi, Devdas, was in England when Australian legend Don Bradman toured the country for the last time. After failing to find accommodation in Nottingham, Devdas convinced the warden of a local prison to let him spend the night there on June 10, 1948. He finally managed to watch Bradman bat at Nottingham's Trent Bridge stadium.",sports,"Mahatma Gandhi's son stayed in jail to watch Don Bradman bat. The youngest son of Mahatma Gandhi, Devdas, was in England when Australian legend Don Bradman toured the country for the last time. After failing to find accommodation in Nottingham, Devdas convinced the warden of a local prison to let him spend the night there on June 10, 1948. He finally managed to watch Bradman bat at Nottingham's Trent Bridge stadium.",mahatma gandhis son stay jail watch bradman bat young son mahatma gandhi devdas england australian legend bradman tour country last time fail find accommodation nottingham devdas convince warden local prison let spend night june finally manage watch bradman bat nottingham trent bridge stadium
"13th-ranked Scotland score 371, beat no. 1 England by 6 runs","Scotland, who are placed 13th in ODI rankings, defeated top-ranked England by six runs in the one-off ODI on Sunday. Scotland registered their highest-ever ODI total of 371/5, breaking the 21-year-old record for the highest ODI total (347/3, Kenya) by an Associate side. Further, the match witnessed Jonny Bairstow become the first England player to hit three straight ODI hundreds.",sports,"13th-ranked Scotland score 371, beat no. 1 England by 6 runs. Scotland, who are placed 13th in ODI rankings, defeated top-ranked England by six runs in the one-off ODI on Sunday. Scotland registered their highest-ever ODI total of 371/5, breaking the 21-year-old record for the highest ODI total (347/3, Kenya) by an Associate side. Further, the match witnessed Jonny Bairstow become the first England player to hit three straight ODI hundreds.",th rank scotland score beat no england run scotland placed th odi ranking defeated top rank england six run one odi sunday scotland register high ever odi total break year old record high odi total kenya associate side match witness jonny bairstow become first england player hit three straight odi hundred
If female models earn more then so should male players: Nadal,"Rafael Nadal has said that if female supermodels earn more than their male counterparts then in the same way male tennis players should earn more than female players as they gather more audience. ""It's a comparison we shouldn't even make. Female models earn more than male models and nobody says anything. Why? Because they have a larger following,"" Nadal added.",sports,"If female models earn more then so should male players: Nadal. Rafael Nadal has said that if female supermodels earn more than their male counterparts then in the same way male tennis players should earn more than female players as they gather more audience. ""It's a comparison we shouldn't even make. Female models earn more than male models and nobody says anything. Why? Because they have a larger following,"" Nadal added.",female model earn male player nadal rafael nadal say female supermodel earn male counterpart way male tennis player earn female player gather audience comparison not even make female model earn male model nobody say anything larger following nadal add
Karthik was red with anger before his 8-ball 29 in final: Rohit,"India's then stand-in captain Rohit Sharma revealed that during Nidahas Trophy final, he calmed Dinesh Karthik down, who was ""red with anger"" before his 8-ball 29 including match-winning last-ball six. Rohit said Karthik told him he should have batted up the order, following which Rohit told him he is an experienced batsman and should face experienced bowlers towards the finish.",sports,"Karthik was red with anger before his 8-ball 29 in final: Rohit. India's then stand-in captain Rohit Sharma revealed that during Nidahas Trophy final, he calmed Dinesh Karthik down, who was ""red with anger"" before his 8-ball 29 including match-winning last-ball six. Rohit said Karthik told him he should have batted up the order, following which Rohit told him he is an experienced batsman and should face experienced bowlers towards the finish.",karthik red anger ball final rohit indias stand captain rohit sharma reveal nidahas trophy final calm dinesh karthik red anger ball include match win last ball six rohit say karthik tell bat order follow rohit tell experience batsman face experience bowler towards finish
Rashid will create headaches for Indian players: SRH coach,"SunRisers Hyderabad head coach Tom Moody has said that Afghanistan's 19-year-old leg-spinner Rashid Khan will create ""enough headaches"" for the Indian batsmen in the upcoming Bengaluru Test. ""I am yet to see someone successfully read him...his deception is still a big weapon,"" he added. Notably, Rashid has taken 35 wickets in just four first-class matches he has played.",sports,"Rashid will create headaches for Indian players: SRH coach. SunRisers Hyderabad head coach Tom Moody has said that Afghanistan's 19-year-old leg-spinner Rashid Khan will create ""enough headaches"" for the Indian batsmen in the upcoming Bengaluru Test. ""I am yet to see someone successfully read him...his deception is still a big weapon,"" he added. Notably, Rashid has taken 35 wickets in just four first-class matches he has played.",rashid create headache indian player srh coach sunriser hyderabad head coach tom moody say afghanistans year old leg spinner rashid khan create enough headache indian batsman upcoming bengaluru test yet see someone successfully read deception still big weapon add notably rashid take wicket four first class match play
Chhetri names shin pads after his 'strengths' wife and sister,"After scoring India's match-winning brace in the Intercontinental Cup final, captain Sunil Chhetri shared an Instagram post in which he presents his shin pads to his wife and sister after naming the equipment after them. Chhetri's post was captioned, ""Named my shin pads and handed them to the people who give me strength. I love them so much!"".",sports,"Chhetri names shin pads after his 'strengths' wife and sister. After scoring India's match-winning brace in the Intercontinental Cup final, captain Sunil Chhetri shared an Instagram post in which he presents his shin pads to his wife and sister after naming the equipment after them. Chhetri's post was captioned, ""Named my shin pads and handed them to the people who give me strength. I love them so much!"".",chhetri name shin pad strength wife sister scoring india match win brace intercontinental cup final captain sunil chhetri share instagram post present shin pad wife sister name equipment chhetris post caption named shin pad hand people give strength love much
Indians 3rd highest WC ticket buyers in non-playing nations,"Indian fans have bought the third-highest number of tickets, behind USA and China, for the upcoming FIFA World Cup 2018 among the nations which are not participating in the tournament. While USA is topping the chart with 86,710 tickets, China comes in second place with 39,884 tickets and Indian football fans are at the third spot with 17,962 tickets bought.",sports,"Indians 3rd highest WC ticket buyers in non-playing nations. Indian fans have bought the third-highest number of tickets, behind USA and China, for the upcoming FIFA World Cup 2018 among the nations which are not participating in the tournament. While USA is topping the chart with 86,710 tickets, China comes in second place with 39,884 tickets and Indian football fans are at the third spot with 17,962 tickets bought.",indian rd high wc ticket buyer non play nation indian fan buy third high number ticket behind usa china upcoming fifa world cup among nation not participate tournament usa top chart ticket china come second place ticket indian football fan third spot ticket bought
Inzamam once changed field to let me hit a six: Sehwag,"Former Indian cricketer Virender Sehwag has revealed that Pakistan's then captain Inzamam-ul-Haq once changed a fielder's position from long on for one ball on his request so that he could hit a six. Sehwag, who hit a six after the field change, said when bowler Danish Kaneria questioned Inzamam about the change, Inzamam told Kaneria to go back and bowl.",sports,"Inzamam once changed field to let me hit a six: Sehwag. Former Indian cricketer Virender Sehwag has revealed that Pakistan's then captain Inzamam-ul-Haq once changed a fielder's position from long on for one ball on his request so that he could hit a six. Sehwag, who hit a six after the field change, said when bowler Danish Kaneria questioned Inzamam about the change, Inzamam told Kaneria to go back and bowl.",inzamam changed field let hit six sehwag former indian cricketer virender sehwag reveal pakistan captain inzamam ul haq change fielder position long one ball request could hit six sehwag hit six field change say bowler danish kaneria question inzamam change inzamam told kaneria go back bowl
Rashid calls Bhogle 'SIR' after earlier terming him as 'bro',"Afghanistan's 19-year-old spinner Rashid Khan termed 56-year-old commentator Harsha Bhogle as 'SIR' after having earlier referred to him as 'bro' in one of his tweets. Bhogle on Saturday tweeted that he had no problem in being called 'bro' by the 19-year-old despite the age difference. Reacting to his tweet, Rashid wrote, ""Thank you (Harsha Bhogle) SIR.",sports,"Rashid calls Bhogle 'SIR' after earlier terming him as 'bro'. Afghanistan's 19-year-old spinner Rashid Khan termed 56-year-old commentator Harsha Bhogle as 'SIR' after having earlier referred to him as 'bro' in one of his tweets. Bhogle on Saturday tweeted that he had no problem in being called 'bro' by the 19-year-old despite the age difference. Reacting to his tweet, Rashid wrote, ""Thank you (Harsha Bhogle) SIR.",rashid call bhogle sir early term bro afghanistan year old spinner rashid khan termed year old commentator harsha bhogle sir early refer bro one tweet bhogle saturday tweet no problem call bro year old despite age difference react tweet rashid wrote thank harsha bhogle sir
