antecedent,consequent,confidence,coverage,leverage,lift,strength,support
"HEART OF WICKER SMALL, JUMBO BAG RED RETROSPOT",LUNCH BAG RED RETROSPOT,0.42424242424242425,0.10199556541019955,-0.004047535298610761,0.8479720655385441,9.401515151515152,105
"HEART OF WICKER SMALL, JUMBO BAG RED RETROSPOT",NATURAL SLATE HEART CHALKBOARD ,0.43478260869565216,0.10199556541019955,0.0051184158833580415,1.130480357305624,7.2272727272727275,110
"HEART OF WICKER SMALL, JUMBO BAG RED RETROSPOT",WHITE HANGING HEART T-LIGHT HOLDER,0.4383561643835616,0.10199556541019955,-0.010999320196423456,0.7010589721169728,12.71311475409836,109
"HEART OF WICKER SMALL, JUMBO BAG RED RETROSPOT, JUMBO BAG PINK POLKADOT",JUMBO SHOPPER VINTAGE RED PAISLEY,0.514018691588785,0.04313646442249546,0.004191451637629385,1.2330980314177766,10.34,55
"HEART OF WICKER SMALL, JUMBO BAG RED RETROSPOT, JUMBO BAG PINK POLKADOT",JUMBO STORAGE BAG SUKI,0.6025641025641025,0.04313646442249546,0.005876759912562901,1.4194304429347164,13.5,60
"HEART OF WICKER SMALL, JUMBO BAG RED RETROSPOT, JUMBO BAG PINK POLKADOT",LUNCH BAG RED RETROSPOT,0.4392523364485981,0.04313646442249546,-0.0026334820997044434,0.8779737474300948,11.598130841121495,47
"HEART OF WICKER SMALL, JUMBO BAG RED RETROSPOT, JUMBO BAG PINK POLKADOT",NATURAL SLATE HEART CHALKBOARD ,0.45794392523364486,0.04313646442249546,0.0031638028385161565,1.1907022081153626,9.54,49
"HEART OF WICKER SMALL, JUMBO BAG RED RETROSPOT, JUMBO BAG PINK POLKADOT",WHITE HANGING HEART T-LIGHT HOLDER,0.4205607476635514,0.04313646442249546,-0.008830742317794987,0.6725989262278783,14.495327102803738,45
"HEART OF WICKER SMALL, JUMBO BAG RED RETROSPOT, JUMBO SHOPPER VINTAGE RED PAISLEY",JUMBO BAG PINK POLKADOT,0.5555555555555556,0.04273331989518242,0.0046084108332841356,1.296383401275217,11.811111111111112,55
"HEART OF WICKER SMALL, JUMBO BAG RED RETROSPOT, JUMBO SHOPPER VINTAGE RED PAISLEY",JUMBO STORAGE BAG SUKI,0.5377358490566038,0.04273331989518242,0.004838465692551062,1.2667177336988658,11.7,57
"HEART OF WICKER SMALL, JUMBO BAG RED RETROSPOT, JUMBO SHOPPER VINTAGE RED PAISLEY",NATURAL SLATE HEART CHALKBOARD ,0.4528301886792453,0.04273331989518242,0.0029157076476500577,1.1774059570428386,9.0,48
"HEART OF WICKER SMALL, JUMBO BAG RED RETROSPOT, JUMBO SHOPPER VINTAGE RED PAISLEY",WHITE HANGING HEART T-LIGHT HOLDER,0.5,0.04273331989518242,-0.005353509033431944,0.799645390070922,14.632075471698114,53
"HEART OF WICKER SMALL, JUMBO BAG RED RETROSPOT, NATURAL SLATE HEART CHALKBOARD ",JUMBO BAG PINK POLKADOT,0.4838709677419355,0.04434589800443459,0.002074394345639995,1.1291081236913179,11.43010752688172,49
"HEART OF WICKER SMALL, JUMBO BAG RED RETROSPOT, NATURAL SLATE HEART CHALKBOARD ",JUMBO SHOPPER VINTAGE RED PAISLEY,0.43636363636363634,0.04434589800443459,0.000865285814720675,1.0468085106382978,9.4,48
"HEART OF WICKER SMALL, JUMBO BAG RED RETROSPOT, NATURAL SLATE HEART CHALKBOARD ",JUMBO STORAGE BAG SUKI,0.44545454545454544,0.04434589800443459,0.0009287520263375839,1.049335232668566,9.572727272727272,49
"HEART OF WICKER SMALL, JUMBO BAG RED RETROSPOT, NATURAL SLATE HEART CHALKBOARD ",LUNCH BAG RED RETROSPOT,0.5272727272727272,0.04434589800443459,0.0011960252273721726,1.0539081385979048,13.344086021505376,58
"HEART OF WICKER SMALL, JUMBO BAG RED RETROSPOT, NATURAL SLATE HEART CHALKBOARD ",PAPER CHAIN KIT 50'S CHRISTMAS ,0.42727272727272725,0.04434589800443459,0.006737251224741453,1.5517569546120058,6.209090909090909,47
"HEART OF WICKER SMALL, JUMBO BAG RED RETROSPOT, NATURAL SLATE HEART CHALKBOARD ",PARTY BUNTING,0.4727272727272727,0.04434589800443459,-2.50289285249782e-05,0.9988074957410561,10.672727272727272,52
"HEART OF WICKER SMALL, JUMBO BAG RED RETROSPOT, NATURAL SLATE HEART CHALKBOARD ",REGENCY CAKESTAND 3 TIER,0.45454545454545453,0.04434589800443459,0.00016983915784806635,1.0084973166368516,10.163636363636364,50
"HEART OF WICKER SMALL, JUMBO BAG RED RETROSPOT, NATURAL SLATE HEART CHALKBOARD ",WHITE HANGING HEART T-LIGHT HOLDER,0.6363636363636364,0.04434589800443459,0.000491639667454929,1.0177304964539007,21.845070422535212,70
"HEART OF WICKER SMALL, JUMBO BAG RED RETROSPOT, PAPER CHAIN KIT 50'S CHRISTMAS ",NATURAL SLATE HEART CHALKBOARD ,0.734375,0.02580124974803467,0.009024635251108616,1.9094519785115305,14.90625,47
"HEART OF WICKER SMALL, JUMBO BAG RED RETROSPOT, PARTY BUNTING",NATURAL SLATE HEART CHALKBOARD ,0.6419753086419753,0.03265470671235638,0.008404519168075797,1.6692030954784274,11.777777777777779,52
"HEART OF WICKER SMALL, JUMBO BAG RED RETROSPOT, PARTY BUNTING",WHITE HANGING HEART T-LIGHT HOLDER,0.5802469135802469,0.03265470671235638,-0.0014704495508424693,0.9279835390946503,19.14814814814815,47
"HEART OF WICKER SMALL, JUMBO BAG RED RETROSPOT, REGENCY CAKESTAND 3 TIER",LUNCH BAG RED RETROSPOT,0.6,0.03225156218504334,0.0032154046879101865,1.1992747784045124,15.5125,48
"HEART OF WICKER SMALL, JUMBO BAG RED RETROSPOT, REGENCY CAKESTAND 3 TIER",NATURAL SLATE HEART CHALKBOARD ,0.625,0.03225156218504334,0.0077532794498966565,1.6250655136268344,11.925,50
"HEART OF WICKER SMALL, JUMBO BAG RED RETROSPOT, REGENCY CAKESTAND 3 TIER",WHITE HANGING HEART T-LIGHT HOLDER,0.6,0.03225156218504334,-0.0008152279576707185,0.9595744680851064,19.3875,48
"HEART OF WICKER SMALL, JUMBO BAG RED RETROSPOT, WHITE HANGING HEART T-LIGHT HOLDER",NATURAL SLATE HEART CHALKBOARD ,0.569620253164557,0.0318484176577303,0.00589260614977839,1.4810723668497732,12.075949367088608,45
"HEART OF WICKER SMALL, JUMBO SHOPPER VINTAGE RED PAISLEY",JUMBO BAG PINK POLKADOT,0.5164835164835165,0.060068534569643214,0.0032262126343186996,1.2052091840426742,11.68131868131868,63
"HEART OF WICKER SMALL, JUMBO SHOPPER VINTAGE RED PAISLEY",JUMBO BAG RED RETROSPOT,0.7704918032786885,0.060068534569643214,0.0021236395751404393,1.1262256440971048,28.283333333333335,106
"HEART OF WICKER SMALL, JUMBO SHOPPER VINTAGE RED PAISLEY",JUMBO STORAGE BAG SUKI,0.6025641025641025,0.060068534569643214,0.0055989225533846524,1.4194304429347164,13.675324675324676,75
"HEART OF WICKER SMALL, JUMBO SHOPPER VINTAGE RED PAISLEY",NATURAL SLATE HEART CHALKBOARD ,0.4563758389261745,0.060068534569643214,0.0043114767266923485,1.186625019346306,8.517857142857142,68
"HEART OF WICKER SMALL, JUMBO SHOPPER VINTAGE RED PAISLEY",WHITE HANGING HEART T-LIGHT HOLDER,0.48322147651006714,0.060068534569643214,-0.006462826901271156,0.772811652149079,13.848214285714286,72
"HEART OF WICKER SMALL, JUMBO SHOPPER VINTAGE RED PAISLEY, NATURAL SLATE HEART CHALKBOARD ",JUMBO BAG RED RETROSPOT,0.7058823529411765,0.027413827857286837,0.000596143570322208,1.03178619709522,24.955882352941178,48
"HEART OF WICKER SMALL, JUMBO SHOPPER VINTAGE RED PAISLEY, NATURAL SLATE HEART CHALKBOARD ",WHITE HANGING HEART T-LIGHT HOLDER,0.7205882352941176,0.027413827857286837,0.0026128413599468313,1.152430120984564,22.808823529411764,49
"HEART OF WICKER SMALL, JUMBO STORAGE BAG SUKI",JUMBO BAG PINK POLKADOT,0.51,0.04031445273130417,0.0032839091903340716,1.190079962370649,10.63,51
"HEART OF WICKER SMALL, JUMBO STORAGE BAG SUKI",JUMBO BAG RED RETROSPOT,0.625,0.04031445273130417,-0.0017165131728347875,0.913560695344726,23.569444444444443,62
"HEART OF WICKER SMALL, JUMBO STORAGE BAG SUKI",JUMBO SHOPPER VINTAGE RED PAISLEY,0.47,0.04031445273130417,0.0021426550597990267,1.1275,10.34,47
"HEART OF WICKER SMALL, JUMBO STORAGE BAG SUKI, JUMBO BAG RED RETROSPOT",JUMBO BAG PINK POLKADOT,0.6811594202898551,0.04192703084055634,0.007027034208897532,1.589478778954831,15.405797101449275,60
"HEART OF WICKER SMALL, JUMBO STORAGE BAG SUKI, JUMBO BAG RED RETROSPOT",JUMBO SHOPPER VINTAGE RED PAISLEY,0.5517241379310345,0.04192703084055634,0.005501894823972887,1.3235509904622156,11.885057471264368,57
"HEART OF WICKER SMALL, JUMBO STORAGE BAG SUKI, JUMBO BAG RED RETROSPOT",LUNCH BAG RED RETROSPOT,0.5,0.04192703084055634,-1.2676989772391556e-05,0.9993956486704271,11.932692307692308,52
"HEART OF WICKER SMALL, JUMBO STORAGE BAG SUKI, JUMBO BAG RED RETROSPOT",NATURAL SLATE HEART CHALKBOARD ,0.47115384615384615,0.04192703084055634,0.0036289508478569853,1.2250493871956136,9.173076923076923,49
"HEART OF WICKER SMALL, JUMBO STORAGE BAG SUKI, JUMBO BAG RED RETROSPOT",WHITE HANGING HEART T-LIGHT HOLDER,0.5961538461538461,0.04192703084055634,-0.0012210541558971507,0.9534233496999455,17.82758620689655,62
"HEART OF WICKER SMALL, LUNCH BAG  BLACK SKULL., JUMBO BAG RED RETROSPOT",LUNCH BAG RED RETROSPOT,0.7014925373134329,0.027010683329973795,0.005434284211853465,1.4021371787316441,18.52238805970149,47
"HEART OF WICKER SMALL, LUNCH BAG RED RETROSPOT",JUMBO BAG RED RETROSPOT,0.47115384615384615,0.04192703084055634,-0.008929720353325583,0.6886842164906396,16.317307692307693,49
"HEART OF WICKER SMALL, LUNCH BAG RED RETROSPOT, JUMBO BAG RED RETROSPOT",JUMBO BAG PINK POLKADOT,0.44761904761904764,0.04233017536786938,0.0008075079959503519,1.0445146261703178,10.123809523809523,47
"HEART OF WICKER SMALL, LUNCH BAG RED RETROSPOT, JUMBO BAG RED RETROSPOT",JUMBO STORAGE BAG SUKI,0.49523809523809526,0.04233017536786938,0.0029938824179131392,1.1666078777189888,10.028571428571428,52
"HEART OF WICKER SMALL, LUNCH BAG RED RETROSPOT, JUMBO BAG RED RETROSPOT",LUNCH BAG  BLACK SKULL.,0.44761904761904764,0.04233017536786938,0.0012512026379840563,1.0707030353124858,9.876190476190477,47
"HEART OF WICKER SMALL, LUNCH BAG RED RETROSPOT, JUMBO BAG RED RETROSPOT",NATURAL SLATE HEART CHALKBOARD ,0.5523809523809524,0.04233017536786938,0.007102202257227418,1.436248377757812,10.840909090909092,58
"HEART OF WICKER SMALL, LUNCH BAG RED RETROSPOT, JUMBO BAG RED RETROSPOT",REGENCY CAKESTAND 3 TIER,0.45714285714285713,0.04233017536786938,0.0002720677035767111,1.014260158446205,10.647619047619047,48
"HEART OF WICKER SMALL, LUNCH BAG RED RETROSPOT, JUMBO BAG RED RETROSPOT",WHITE HANGING HEART T-LIGHT HOLDER,0.4857142857142857,0.04233017536786938,-0.005907721022199319,0.7767983789260385,14.771428571428572,51
"HEART OF WICKER SMALL, NATURAL SLATE HEART CHALKBOARD ",WHITE HANGING HEART T-LIGHT HOLDER,0.5223367697594502,0.11731505744809514,-0.008228260252586583,0.835368380005362,13.256410256410257,152
"HEART OF WICKER SMALL, PAPER CHAIN KIT 50'S CHRISTMAS ",JUMBO BAG RED RETROSPOT,0.46715328467153283,0.055230800241886716,-0.011305762045344536,0.6828366073233573,15.568807339449542,64
"HEART OF WICKER SMALL, PAPER CHAIN KIT 50'S CHRISTMAS ",NATURAL SLATE HEART CHALKBOARD ,0.48175182481751827,0.055230800241886716,0.0053657797094295795,1.2526052426203922,8.153846153846153,66
"HEART OF WICKER SMALL, PAPER CHAIN KIT 50'S CHRISTMAS ",REGENCY CAKESTAND 3 TIER,0.40875912408759124,0.055230800241886716,-0.0023172887201892154,0.9069114555449642,8.16058394160584,56
"HEART OF WICKER SMALL, PAPER CHAIN KIT 50'S CHRISTMAS ",WHITE HANGING HEART T-LIGHT HOLDER,0.48905109489051096,0.055230800241886716,-0.00752387469266934,0.7821349070766682,14.229357798165138,67
"HEART OF WICKER SMALL, PAPER CHAIN KIT 50'S CHRISTMAS , NATURAL SLATE HEART CHALKBOARD ",JUMBO BAG RED RETROSPOT,0.7121212121212122,0.026607538802660754,0.0007446106236181014,1.040905519544294,25.71212121212121,47
"HEART OF WICKER SMALL, PAPER CHAIN KIT 50'S CHRISTMAS , NATURAL SLATE HEART CHALKBOARD ",REGENCY CAKESTAND 3 TIER,0.696969696969697,0.026607538802660754,0.006552215931717507,1.5463625521765059,16.939393939393938,46
"HEART OF WICKER SMALL, PAPER CHAIN KIT 50'S CHRISTMAS , NATURAL SLATE HEART CHALKBOARD ",WHITE HANGING HEART T-LIGHT HOLDER,0.7575757575757576,0.026607538802660754,0.0035201400189772913,1.2115839243498818,23.5,50
"HEART OF WICKER SMALL, PARTY BUNTING",NATURAL SLATE HEART CHALKBOARD ,0.43478260869565216,0.08345091715379964,0.0041877948136565795,1.130480357305624,7.632,90
"HEART OF WICKER SMALL, PARTY BUNTING",WHITE HANGING HEART T-LIGHT HOLDER,0.4578313253012048,0.08345091715379964,-0.0071672124611884,0.7322054174143381,15.205882352941176,92
"HEART OF WICKER SMALL, PARTY BUNTING, NATURAL SLATE HEART CHALKBOARD ",JUMBO BAG RED RETROSPOT,0.5777777777777777,0.036283007458173755,-0.0038590057071239115,0.8445361094742355,18.855555555555554,52
"HEART OF WICKER SMALL, PARTY BUNTING, NATURAL SLATE HEART CHALKBOARD ",WHITE HANGING HEART T-LIGHT HOLDER,0.5555555555555556,0.036283007458173755,-0.0025297095616317253,0.8884948778565801,17.233333333333334,50
"HEART OF WICKER SMALL, REGENCY CAKESTAND 3 TIER",JUMBO BAG RED RETROSPOT,0.42105263157894735,0.07659746018947793,-0.016927519432870484,0.6154514158111838,11.164473684210526,80
"HEART OF WICKER SMALL, REGENCY CAKESTAND 3 TIER",NATURAL SLATE HEART CHALKBOARD ,0.47368421052631576,0.07659746018947793,0.006823633533254609,1.2316285998013903,8.368421052631579,90
"HEART OF WICKER SMALL, REGENCY CAKESTAND 3 TIER",WHITE HANGING HEART T-LIGHT HOLDER,0.49473684210526314,0.07659746018947793,-0.007268222065592776,0.7912280701754385,14.913461538461538,94
"HEART OF WICKER SMALL, REGENCY CAKESTAND 3 TIER, NATURAL SLATE HEART CHALKBOARD ",JUMBO BAG RED RETROSPOT,0.5555555555555556,0.036283007458173755,-0.004665294761749995,0.8120539514175342,18.855555555555554,50
"HEART OF WICKER SMALL, REGENCY CAKESTAND 3 TIER, NATURAL SLATE HEART CHALKBOARD ",PACK OF 72 RETROSPOT CAKE CASES,0.5777777777777777,0.036283007458173755,0.007901340189417794,1.6049023267388327,9.922222222222222,52
"HEART OF WICKER SMALL, REGENCY CAKESTAND 3 TIER, NATURAL SLATE HEART CHALKBOARD ",PAPER CHAIN KIT 50'S CHRISTMAS ,0.5111111111111111,0.036283007458173755,0.008554205162695958,1.8562388156824463,7.588888888888889,46
"HEART OF WICKER SMALL, REGENCY CAKESTAND 3 TIER, NATURAL SLATE HEART CHALKBOARD ",WHITE HANGING HEART T-LIGHT HOLDER,0.6555555555555556,0.036283007458173755,0.0010985911841856503,1.0484239558707644,17.233333333333334,59
"HEART OF WICKER SMALL, SET OF 3 CAKE TINS PANTRY DESIGN ",JUMBO BAG RED RETROSPOT,0.43636363636363634,0.07579117113485184,-0.012621406048004916,0.6378314672952268,15.017699115044248,77
"HEART OF WICKER SMALL, SET OF 3 CAKE TINS PANTRY DESIGN ",NATURAL SLATE HEART CHALKBOARD ,0.4308510638297872,0.07579117113485184,0.003505431460331119,1.1202579285427539,7.95,81
"HEART OF WICKER SMALL, SET OF 3 CAKE TINS PANTRY DESIGN ",WHITE HANGING HEART T-LIGHT HOLDER,0.44680851063829785,0.07579117113485184,-0.009536915658321158,0.7145767315527387,13.725663716814159,84
"HEART OF WICKER SMALL, SET OF 3 CAKE TINS PANTRY DESIGN , NATURAL SLATE HEART CHALKBOARD ",WHITE HANGING HEART T-LIGHT HOLDER,0.6666666666666666,0.03265470671235638,0.0013515621403488228,1.0661938534278959,21.845070422535212,54
"HEART OF WICKER SMALL, WHITE HANGING HEART T-LIGHT HOLDER, JUMBO BAG RED RETROSPOT",JUMBO BAG PINK POLKADOT,0.41284403669724773,0.043942753477121545,-0.0006898395267809738,0.9633674816815833,9.752293577981652,45
"HEART OF WICKER SMALL, WHITE HANGING HEART T-LIGHT HOLDER, JUMBO BAG RED RETROSPOT",JUMBO SHOPPER VINTAGE RED PAISLEY,0.48623853211009177,0.043942753477121545,0.0030490598285250227,1.1664552020300607,9.486238532110091,53
"HEART OF WICKER SMALL, WHITE HANGING HEART T-LIGHT HOLDER, JUMBO BAG RED RETROSPOT",JUMBO STORAGE BAG SUKI,0.5688073394495413,0.043942753477121545,0.006340770243334412,1.3399113062721626,11.7,62
"HEART OF WICKER SMALL, WHITE HANGING HEART T-LIGHT HOLDER, JUMBO BAG RED RETROSPOT",LUNCH BAG RED RETROSPOT,0.46788990825688076,0.043942753477121545,-0.0014242923060301719,0.9352142767374639,11.385321100917432,51
"HEART OF WICKER SMALL, WHITE HANGING HEART T-LIGHT HOLDER, JUMBO BAG RED RETROSPOT",NATURAL SLATE HEART CHALKBOARD ,0.6422018348623854,0.043942753477121545,0.011319739239196148,1.6697920873963803,10.6,70
"HEART OF WICKER SMALL, WHITE HANGING HEART T-LIGHT HOLDER, JUMBO BAG RED RETROSPOT",PARTY BUNTING,0.43119266055045874,0.043942753477121545,-0.0018499466164647036,0.9110505915633841,10.770642201834862,47
"HEART OF WICKER SMALL, WHITE HANGING HEART T-LIGHT HOLDER, JUMBO BAG RED RETROSPOT",REGENCY CAKESTAND 3 TIER,0.44036697247706424,0.043942753477121545,-0.0004547463767070715,0.9770396021729497,10.256880733944953,48
"JUMBO BAG PINK POLKADOT, HEART OF WICKER SMALL",JUMBO BAG RED RETROSPOT,0.625,0.03991130820399113,-0.0020345755957138934,0.913560695344726,21.481012658227847,60
"JUMBO BAG PINK POLKADOT, HEART OF WICKER SMALL",JUMBO STORAGE BAG SUKI,0.47474747474747475,0.03991130820399113,0.0020049959529116466,1.1183391368576554,10.636363636363637,47
"JUMBO BAG PINK POLKADOT, JUMBO BAG RED RETROSPOT",JUMBO SHOPPER VINTAGE RED PAISLEY,0.46190476190476193,0.2539810522072163,0.011442689787437356,1.1080800405268492,1.7290969899665551,291
"JUMBO BAG PINK POLKADOT, JUMBO BAG RED RETROSPOT",JUMBO STORAGE BAG SUKI,0.5047619047619047,0.2539810522072163,0.020382161671357084,1.1890426445982,1.7608695652173914,318
"JUMBO BAG PINK POLKADOT, JUMBO SHOPPER VINTAGE RED PAISLEY",JUMBO BAG RED RETROSPOT,0.8618421052631579,0.18302761540012094,0.022335068198344996,1.2597521167385168,27.81967213114754,366
"JUMBO BAG PINK POLKADOT, JUMBO SHOPPER VINTAGE RED PAISLEY",JUMBO STORAGE BAG SUKI,0.7392996108949417,0.18302761540012094,0.04485866598817684,1.741531514553564,8.560975609756097,304
"JUMBO BAG PINK POLKADOT, JUMBO SHOPPER VINTAGE RED PAISLEY, JUMBO STORAGE BAG SUKI",JUMBO BAG RED RETROSPOT,0.9262295081967213,0.09877040919169522,0.019145911380284056,1.3538669976912006,19.732558139534884,213
"JUMBO BAG PINK POLKADOT, JUMBO STORAGE BAG SUKI",JUMBO BAG RED RETROSPOT,0.822429906542056,0.14271316266881678,0.016051506934496248,1.202143419668574,26.107692307692307,282
"JUMBO BAG PINK POLKADOT, JUMBO STORAGE BAG SUKI",JUMBO SHOPPER VINTAGE RED PAISLEY,0.6981132075471698,0.14271316266881678,0.03282990921203123,1.6747290244881574,7.180555555555555,229
"JUMBO BAG PINK POLKADOT, JUMBO STORAGE BAG SUKI, JUMBO SHOPPER VINTAGE RED PAISLEY",JUMBO BAG RED RETROSPOT,0.8743961352657005,0.08345091715379964,0.015877360850635767,1.278102306144119,10.161676646706587,181
"JUMBO BAG PINK POLKADOT, JUMBO STORAGE BAG SUKI, NATURAL SLATE HEART CHALKBOARD ",JUMBO BAG RED RETROSPOT,0.8181818181818182,0.022172949002217297,0.0029721852623411614,1.1959340011785504,30.854545454545455,45
"JUMBO BAG PINK POLKADOT, LUNCH BAG RED RETROSPOT",JUMBO BAG RED RETROSPOT,0.7722772277227723,0.043942753477121545,0.00358888830966603,1.128835393851701,24.594202898550726,83
"JUMBO BAG PINK POLKADOT, LUNCH BAG RED RETROSPOT",JUMBO STORAGE BAG SUKI,0.4791666666666667,0.0435396089498085,0.0021152695113804626,1.1287492086103197,10.96875,49
"JUMBO BAG PINK POLKADOT, LUNCH BAG RED RETROSPOT",LUNCH BAG  BLACK SKULL.,0.5247524752475248,0.043942753477121545,0.004344225616937694,1.2552058966745279,11.395604395604396,53
"JUMBO BAG PINK POLKADOT, NATURAL SLATE HEART CHALKBOARD ",JUMBO BAG RED RETROSPOT,0.82,0.07861318282604314,0.006710109464587743,1.1985916322922805,28.76271186440678,148
"JUMBO BAG PINK POLKADOT, NATURAL SLATE HEART CHALKBOARD ",JUMBO SHOPPER VINTAGE RED PAISLEY,0.611764705882353,0.07861318282604314,0.0066791483549513255,1.467584480600751,12.30952380952381,86
"JUMBO BAG PINK POLKADOT, NATURAL SLATE HEART CHALKBOARD ",JUMBO STORAGE BAG SUKI,0.6,0.07861318282604314,0.007573119922169784,1.4133903133903134,12.535714285714286,97
"JUMBO BAG PINK POLKADOT, NATURAL SLATE HEART CHALKBOARD ",WHITE HANGING HEART T-LIGHT HOLDER,0.5028901734104047,0.07861318282604314,-0.005150595934318728,0.8042676177591932,16.677419354838708,95
"JUMBO BAG PINK POLKADOT, PACK OF 72 RETROSPOT CAKE CASES",JUMBO BAG RED RETROSPOT,0.7528089887640449,0.038701874622052004,0.002463967992876182,1.1003787251792654,26.515625,68
"JUMBO BAG PINK POLKADOT, PACK OF 72 RETROSPOT CAKE CASES",LUNCH BAG RED RETROSPOT,0.4895833333333333,0.038701874622052004,-0.00041484636402601855,0.9785749059897931,12.927083333333334,47
"JUMBO BAG PINK POLKADOT, PAPER CHAIN KIT 50'S CHRISTMAS ",JUMBO BAG RED RETROSPOT,0.8035714285714286,0.024591816166095546,0.0026963794720366936,1.1745780368717906,30.303571428571427,47
"JUMBO BAG PINK POLKADOT, PARTY BUNTING",JUMBO BAG RED RETROSPOT,0.6989247311827957,0.07417859302559968,0.0005544557770322281,1.021616261460769,24.594202898550726,122
"JUMBO BAG PINK POLKADOT, PARTY BUNTING",JUMBO SHOPPER VINTAGE RED PAISLEY,0.42342342342342343,0.057649667405764965,0.00029408991016849383,1.0157657657657657,9.315315315315315,59
"JUMBO BAG PINK POLKADOT, PARTY BUNTING",JUMBO STORAGE BAG SUKI,0.41739130434782606,0.06651884700665188,-0.0003300893106118878,0.9832280440976093,9.486486486486486,66
"JUMBO BAG PINK POLKADOT, REGENCY CAKESTAND 3 TIER",JUMBO BAG RED RETROSPOT,0.7758620689655172,0.049586776859504134,0.0021447678914277585,1.1340753459451771,29.25862068965517,88
"JUMBO BAG PINK POLKADOT, REGENCY CAKESTAND 3 TIER",PARTY BUNTING,0.4065040650406504,0.049586776859504134,-0.003311782315282343,0.8588869960249857,9.544715447154472,50
"JUMBO BAG RED RETROSPOT, HEART OF WICKER SMALL",JUMBO BAG PINK POLKADOT,0.55,0.055230800241886716,0.005069495704877402,1.2834195672624649,12.079545454545455,64
"JUMBO BAG RED RETROSPOT, HEART OF WICKER SMALL",JUMBO SHOPPER VINTAGE RED PAISLEY,0.46,0.052811933078008466,0.0017395105324859849,1.1035106382978723,10.444444444444445,56
"JUMBO BAG RED RETROSPOT, HEART OF WICKER SMALL",JUMBO STORAGE BAG SUKI,0.45045045045045046,0.05200564402338238,0.0011607571917233396,1.0611038388816167,10.223300970873787,55
"JUMBO BAG RED RETROSPOT, HEART OF WICKER SMALL, NATURAL SLATE HEART CHALKBOARD ",PACK OF 72 RETROSPOT CAKE CASES,0.4727272727272727,0.04434589800443459,0.004998634582559932,1.3131019036954086,8.118181818181819,52
"JUMBO BAG RED RETROSPOT, HEART OF WICKER SMALL, REGENCY CAKESTAND 3 TIER",PACK OF 72 RETROSPOT CAKE CASES,0.6125,0.03225156218504334,0.0081432594109076,1.7013507838745803,11.1625,49
"JUMBO BAG RED RETROSPOT, JUMBO BAG PINK POLKADOT",JUMBO SHOPPER VINTAGE RED PAISLEY,0.5432432432432432,0.31646845394073775,0.020021355039373634,1.303205865439908,4.476190476190476,366
"JUMBO BAG RED RETROSPOT, JUMBO BAG PINK POLKADOT",JUMBO STORAGE BAG SUKI,0.5486284289276808,0.31646845394073775,0.028929134448862383,1.29237684516155,4.558441558441558,405
